Census_year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading_name,Business_address,Number of patrons,Longitude,Latitude,Location
2004,48,503031,503031,19-23 Meyers Place MELBOURNE 3000,Melbourne (CBD),Loop 23,"Ground , 19-23 Meyers Place MELBOURNE 3000",150,144.97079,-37.81379,"-37.81379, 144.97079"
2004,57,101216,101216,21-25 Croft Alley MELBOURNE 3000,Melbourne (CBD),The Croft Institute,21-25 Croft Alley MELBOURNE 3000,250,144.96777,-37.8137,"-37.8137, 144.96777"
2004,64,104376,104376,14-20 Goldie Place MELBOURNE 3000,Melbourne (CBD),Word Events,14-20 Goldie Place MELBOURNE 3000,200,144.95942,-37.81492,"-37.81492, 144.95942"
2004,66,109392,109392,248-258 Swanston Street MELBOURNE 3000,Melbourne (CBD),Cookie,"Unit , Level 1, 252 Swanston Street MELBOURNE 3000",300,144.96396,-37.81363,"-37.81363, 144.96396"
2004,74,104662,104662,106-112 Hardware Street MELBOURNE 3000,Melbourne (CBD),Pugg Mahones Irish Bar,"Unit 1, 106-112 Hardware Street MELBOURNE 3000",200,144.95937,-37.81377,"-37.81377, 144.95937"
2004,74,106017,106017,391-393 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),La La Land,"Level 1, 391 Little Lonsdale Street MELBOURNE 3000",175,144.95903,-37.81351,"-37.81351, 144.95903"
2004,76,105749,105749,278-300 Swanston Street MELBOURNE 3000,Melbourne (CBD),Three Degrees,1-7 Swanston Street MELBOURNE 3000,457,144.96441,-37.81232,"-37.81232, 144.96441"
2004,77,108573,108573,270 Russell Street MELBOURNE 3000,Melbourne (CBD),So'bar,"Ground , 270 Russell Street MELBOURNE 3000",90,144.96585,-37.81175,"-37.81175, 144.96585"
2004,78,103618,103618,242-284 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Coopers Inn,"Shop 1, 242-284 Exhibition Street MELBOURNE 3000",400,144.96866,-37.81105,"-37.81105, 144.96866"
2004,85,102597,102597,2-20 Drewery Place MELBOURNE 3000,Melbourne (CBD),Embassy Bar & Double Bar,"Gnd & Bmt , 9-13 Drewery Place MELBOURNE 3000",303,144.96265,-37.81294,"-37.81294, 144.96265"
2004,87,101023,101023,25 Bennetts Lane MELBOURNE 3000,Melbourne (CBD),Bennetts Lane Jazz Club,25 Bennetts Lane MELBOURNE 3000,300,144.96624,-37.81053,"-37.81053, 144.96624"
2004,97,103615,103615,333-351 Exhibition Street MELBOURNE 3000,Melbourne (CBD),The Owl & The Pussycat,"Shop 2, Ground , 333 Exhibition Street MELBOURNE 3000",100,144.96675,-37.80944,"-37.80944, 144.96675"
2004,215,108202,108202,415-421 Rathdowne Street CARLTON 3053,Carlton,Clare Castle Hotel,415-421 Rathdowne Street CARLTON 3053,50,144.96911,-37.79816,"-37.79816, 144.96911"
2004,218,106222,106222,270-276 Lygon Street CARLTON 3053,Carlton,University Hotel,"Part Ground , 272-276 Lygon Street CARLTON 3053",111,144.96593,-37.80216,"-37.80216, 144.96593"
2004,255,109366,109366,594-600 Swanston Street CARLTON 3053,Carlton,Plough and Harrow Hotel,125-127 Swanston Street CARLTON 3053,400,144.96263,-37.80441,"-37.80441, 144.96263"
2004,266,106081,106081,27-31 Lygon Street CARLTON 3053,Carlton,John Curtin Hotel,27-31 Lygon Street CARLTON 3053,350,144.96438,-37.80784,"-37.80784, 144.96438"
2004,270,104468,104468,156-292 Grattan Street PARKVILLE 3010,Parkville,Deep Dish Bar & Cafe,"Ground , 156-292 Grattan Street PARKVILLE 3010",400,144.95991,-37.79839,"-37.79839, 144.95991"
2004,345,103402,103402,33 Errol Street NORTH MELBOURNE 3051,North Melbourne,Townhall Hotel North Melbourne,33 Errol Street NORTH MELBOURNE 3051,220,144.94748,-37.80576,"-37.80576, 144.94748"
2004,347,110920,110920,161-163 Errol Street NORTH MELBOURNE 3051,North Melbourne,Limerick Castle Hotel & Restaurant,161-163 Errol Street NORTH MELBOURNE 3051,50,144.94832,-37.8028,"-37.8028, 144.94832"
2004,361,109842,109842,240-248 Victoria Street NORTH MELBOURNE 3051,North Melbourne,Central Club Hotel,240-248 Victoria Street NORTH MELBOURNE 3051,150,144.95681,-37.80755,"-37.80755, 144.95681"
2004,377,102236,102236,56-58 Courtney Street NORTH MELBOURNE 3051,North Melbourne,The Castle Hotel,56-58 Courtney Street NORTH MELBOURNE 3051,317,144.95172,-37.80253,"-37.80253, 144.95172"
2004,378,103818,103818,75-79 Flemington Road NORTH MELBOURNE 3051,North Melbourne,Redback Brewery Hotel,"Part Gnd & Flr1 , 75-79 Flemington Road NORTH MELBOURNE 3051",650,144.95203,-37.80059,"-37.80059, 144.95203"
2004,618,109993,109993,178-226 Wellington Parade EAST MELBOURNE 3002,East Melbourne,MCG Worx,180 Wellington Parade EAST MELBOURNE 3002,144,144.98218,-37.81746,"-37.81746, 144.98218"
2004,658,110266,110266,Brunton Avenue JOLIMONT 3002,East Melbourne,Spotless Services,Part  Brunton Avenue JOLIMONT 3002,2545,144.98184,-37.82164,"-37.82164, 144.98184"
2004,753,110606,110380,3 Southgate Avenue SOUTHBANK 3006,Southbank,Bear Brass,"Shop 3, Ground , 3 Southgate Avenue SOUTHBANK 3006",200,144.96499,-37.82234,"-37.82234, 144.96499"
2004,859,109512,109512,146W-150W Toorak Road SOUTH YARRA 3141,South Yarra,United Kingdom Settlers Association,"Front Floor 1, 146W Toorak Road SOUTH YARRA 3141",100,144.98306,-37.83928,"-37.83928, 144.98306"
2005,6,578325,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),The big Group,"Level 3, 2-0 Swanston Street MELBOURNE 3000",350,144.96851,-37.81943,"-37.81943, 144.96851"
2005,11,103993,103993,508-514 Flinders Street MELBOURNE 3000,Melbourne (CBD),Waterside Hotel,508-514 Flinders Street MELBOURNE 3000,324,144.95583,-37.8218,"-37.8218, 144.95583"
2005,11,108971,108971,561-585 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Holiday Inn On Flinders Melbourne,561-585 Flinders Lane MELBOURNE 3000,100,144.95379,-37.82183,"-37.82183, 144.95379"
2005,13,108058,108058,7-11 Queen Street MELBOURNE 3000,Melbourne (CBD),The Bliss Lounge,"Basement , 11 Queen Street MELBOURNE 3000",210,144.96063,-37.82026,"-37.82026, 144.96063"
2005,14,103172,103172,31-39 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),The Joint,"Unit 6, Floor 1, 35 Elizabeth Street MELBOURNE 3000",329,144.963,-37.81906,"-37.81906, 144.963"
2005,16,104018,104018,172-192 Flinders Street MELBOURNE 3000,Melbourne (CBD),Purple Emerald,"Ground , 191 Flinders Street MELBOURNE 3000",110,144.96725,-37.81824,"-37.81824, 144.96725"
2005,17,103924,103924,107-109 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Bisq Cafeteria,"Unit 1, Bmt & Gnd , 107 Flinders Lane MELBOURNE 3000",200,144.96952,-37.81724,"-37.81724, 144.96952"
2005,17,103925,103925,121-123 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Velour,"Unit 1, Gnd & Bmt , 121 Flinders Lane MELBOURNE 3000",350,144.9692,-37.81731,"-37.81731, 144.9692"
2005,23,102098,102098,415-417 Collins Street MELBOURNE 3000,Melbourne (CBD),The Sherlock Holmes Inn,"Basement , 415 Collins Street MELBOURNE 3000",70,144.95955,-37.81911,"-37.81911, 144.95955"
2005,25,101789,101789,252-254 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Hell's Kitchen,"Mezzanine , 20A Flinders Lane MELBOURNE 3000",55,144.96428,-37.81824,"-37.81824, 144.96428"
2005,25,103964,103964,30-44 Manchester Lane MELBOURNE 3000,Melbourne (CBD),Manchester Lane,36 Manchester Lane MELBOURNE 3000,250,144.96488,-37.81806,"-37.81806, 144.96488"
2005,31,102113,102113,546-566 Collins Street MELBOURNE 3000,Melbourne (CBD),Nero Bar,546-566 Collins Street MELBOURNE 3000,80,144.95453,-37.81988,"-37.81988, 144.95453"
2005,32,102117,102117,500-514 Collins Street MELBOURNE 3000,Melbourne (CBD),Menzies Tavern,"Part Level 1, 525 Collins Street MELBOURNE 3000",250,144.95616,-37.81921,"-37.81921, 144.95616"
2005,35,109271,109271,125-133 Swanston Street MELBOURNE 3000,Melbourne (CBD),Hi Fi Bar & Ballroom,"Basement , 125 Swanston Street MELBOURNE 3000",800,144.96449,-37.81637,"-37.81637, 144.96449"
2005,36,102152,102152,162-168 Collins Street MELBOURNE 3000,Melbourne (CBD),Long Room,"Shop , Basement , 162-168 Collins Street MELBOURNE 3000",620,144.96653,-37.81614,"-37.81614, 144.96653"
2005,43,101152,101152,457-471 Bourke Street MELBOURNE 3000,Melbourne (CBD),Madisons Restaurant Bar Lounge,"Part Ground , 461 Bourke Street MELBOURNE 3000",280,144.95886,-37.81713,"-37.81713, 144.95886"
2005,46,105964,105964,188-194 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Gin Palace,10 Little Collins Street MELBOURNE 3000,150,144.96627,-37.81555,"-37.81555, 144.96627"
2005,48,108983,108983,103-137 Spring Street MELBOURNE 3000,Melbourne (CBD),Hard Rock Cafe,1 Spring Street MELBOURNE 3000,500,144.97161,-37.81363,"-37.81363, 144.97161"
2005,54,105852,105852,401-405 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),The Apartment Restaurant Club Lounge,"LwrGround , 405 Little Bourke Street MELBOURNE 3000",250,144.95972,-37.81567,"-37.81567, 144.95972"
